a47,a3,a2,a18,a5,a4,a46,a14,a45,a30,Class
299,704785.63,1093.71,810,89,721,63,1.200681,57.0,58.0,0
257,1218216.73,2958.44,102,8,94,154,0.032844,7.0,7.0,0
436,516729.3,2434.02,12,10,2,270,1.794308,8.0,8.0,0
436,397555.9,15785.09,34,9,25,216,70.001834,11.0,11.0,0
154,382472.42,10707.77,4619,20,4598,237,0.022688,27.0,27.0,0
3,20926.68,375.48,5,3,2,4,4.851858,0.0,0.0,0
3,8660.35,629.44,36,11,25,4,0.482496,0.0,0.0,0
436,319828.05,176.84,218,5,213,270,0.040861,7.0,7.0,0
3,496.62,0.0,2,1,1,4,1.99938,0.0,0.0,0
11,30572.7,3336.01,11,3,8,270,18.634625,1.0,1.0,0
3,129540.15,12921.57,20,10,10,4,1.004055,0.0,0.0,0
436,385961.98,1448.09,254,246,8,270,103.974875,8.0,8.0,0
119,198900.25,12431.27,17,16,0,270,0.0,2.0,2.0,0
320,78197.58,5776.32,9,2,7,270,0.037563,2.0,2.0,0
248,540061.9,3742.82,56,24,32,250,102.312148,26.0,26.0,0
413,25802.32,11.08,38,3,34,270,0.044268,0.0,0.0,0
3,280803.43,4923.24,114,57,57,4,0.203593,0.0,0.0,0
53,842599.05,11171.03,37,11,26,237,9.896423,7.0,7.0,0
3,2318.5,3.82,5,2,3,4,9.255226,0.0,0.0,0
3,329.78,1.11,4,2,2,4,50.499487,0.0,0.0,0
308,113840.02,6324.45,19,18,0,270,0.0,2.0,2.0,0
301,292841.02,41108.66,14,7,7,270,22.441764,1.0,1.0,0
3,712.88,64.3,9,4,5,4,1.749551,0.0,0.0,0
401,892782.2,6928.28,134,126,8,294,1.2625,15.0,15.0,0
119,226778.27,13339.9,18,17,0,270,0.0,3.0,3.0,0
3,30.65,0.0,2,1,1,4,4.99774,0.0,0.0,0
436,330187.83,60933.08,85,3,82,270,0.760256,11.0,11.0,0
3,68.87,0.0,2,1,1,4,0.546389,0.0,0.0,0
3,338429.65,112602.93,7,3,4,4,2.104909,0.0,0.0,0
375,955278.0,6594.93,73,14,59,98,43.052269,23.0,23.0,0
119,291427.53,5498.63,54,53,0,270,0.0,2.0,2.0,0
3,561789.58,51068.75,21,11,10,4,5.621492,0.0,0.0,0
352,2257.12,0.0,3,1,2,270,0.0,9.0,9.0,0
413,22889.93,680.22,12,2,10,270,0.011073,1.0,1.0,0
119,449889.15,648.26,695,694,0,270,0.0,2.0,2.0,0
377,450106.65,58.88,8959,2989,5970,138,37.845721,15.0,15.0,0
448,4.87,0.0,2,1,1,293,0.0,1.0,1.0,0
436,636162.82,128.81,4443,4375,68,189,67.923395,8.0,8.0,0
3,345142.02,85496.6,7,4,3,4,3.683667,0.0,0.0,0
54,21206.93,0.92,10003,4,9996,294,0.0,29.0,31.0,0
359,160707.1,1245.91,12,3,9,229,6.226376,9.0,9.0,0
288,802574.4,26284.49,21,8,13,30,20.327692,6.0,6.0,0
401,339687.12,56424.63,9,6,3,270,4.5,13.0,13.0,0
375,355017.02,51541.26,39,6,33,237,2.307983,2.0,2.0,0
3,328.45,0.0,3,1,2,4,50.499487,0.0,0.0,0
3,13445.97,450.56,12,6,6,4,2.614933,0.0,0.0,0
3,340383.53,112925.21,5,3,2,4,6.955748,0.0,0.0,0
226,266825.07,15420.31,15,4,11,270,0.759219,4.0,4.0,0
389,204236.48,32.24,4024,1807,2217,250,15.276167,3.0,3.0,0
352,286279.03,56819.72,17,5,12,270,59.516667,10.0,10.0,0
154,1169229.5,27049.27,48,13,35,170,85.766674,11.0,11.0,0
308,186707.1,0.0,9,1,8,270,12.688992,1.0,1.0,0
117,962956.75,1470.01,321,140,181,118,3.288313,64.0,65.0,0
188,97419.95,288.59,58,10,48,119,6.758479,9.0,10.0,0
124,754216.92,74.96,10002,6576,3424,163,43.26697,85.0,87.0,0
3,652.87,82.8,12,6,6,4,1.047197,0.0,0.0,0
3,24534.25,3.43,6,3,3,4,0.146551,0.0,0.0,0
3,4486.98,672.28,7,2,5,4,1.372346,0.0,0.0,0
3,2.5,0.0,2,1,1,4,0.853821,0.0,0.0,0
3,8873.97,0.0,2,1,1,4,0.134569,0.0,0.0,0
3,242427.3,14237.49,34,17,17,4,0.047446,0.0,0.0,0
352,531093.05,59605.36,15,8,7,123,1.013286,15.0,15.0,0
458,93911.63,5012.75,35,17,14,270,48.273105,1.0,2.0,0
12,414518.23,38530.77,17,8,9,9,0.421015,5.0,5.0,0
401,1040169.4,845.41,1054,1024,30,270,6.696126,15.0,15.0,0
436,240610.1,728.9,130,6,124,270,0.647486,8.0,8.0,0
3,10032.05,3319.39,6,3,3,4,5.281031,0.0,0.0,0
3,120621.38,24076.63,9,5,4,4,0.21567,0.0,0.0,0
3,28803.42,0.0,2,1,1,4,11.999559,0.0,0.0,0
119,294616.95,62086.18,5,2,3,270,13.301956,2.0,2.0,0
3,8.92,0.0,6,2,4,4,500.249528,0.0,0.0,0
3,9299.17,287.13,52,28,24,4,2.375185,0.0,0.0,0
25,321695.25,44699.56,13,7,6,23,15.753561,1.0,1.0,0
3,161076.67,1129.25,11,5,6,4,11.41756,0.0,0.0,0
102,620113.1,2945.2,174,53,121,30,3.571783,34.0,35.0,0
53,101238.1,1645.59,33,12,21,259,2.350007,5.0,5.0,0
436,674198.88,20051.27,32,9,23,71,4.835781,10.0,10.0,0
202,72065.0,4621.92,25,9,16,23,1.118571,5.0,5.0,0
84,611682.27,17068.13,1175,19,1156,51,1.206055,13.0,14.0,0
297,1009090.55,5026.86,112,25,87,18,3.933071,29.0,30.0,0
413,11677.73,221.0,20,4,16,270,15.825,11.0,11.0,0
167,381840.42,7188.55,79,30,49,39,100.90074,26.0,26.0,0
3,102.07,0.0,6,1,5,4,20.199496,0.0,0.0,0
308,291444.58,8831.65,34,33,0,270,0.0,1.0,1.0,0
3,16284.15,169.09,69,8,61,4,0.010066,0.0,0.0,0
3,169.87,0.0,2,1,1,4,0.447277,0.0,0.0,0
3,2250.73,0.0,2,1,1,4,0.86699,0.0,0.0,0
3,341868.53,170321.78,5,2,3,4,0.280059,0.0,0.0,0
352,614761.98,3041.25,125,40,85,291,8.995439,20.0,20.0,0
3,10.8,0.0,5,2,3,4,666.999528,0.0,0.0,0
3,7.53,0.0,2,1,1,4,0.996747,0.0,0.0,0
3,688942.0,40512.33,34,17,17,4,12.28679,0.0,0.0,0
413,772.02,0.0,5,1,4,195,0.099442,0.0,0.0,0
418,596107.57,121771.36,14,3,11,275,2.833016,1.0,1.0,0
3,288353.97,26178.65,14,11,3,4,240.576616,0.0,0.0,0
3,31.28,0.0,2,1,1,4,0.731616,0.0,0.0,0
3,18.47,0.42,5,2,3,4,666.999528,0.0,0.0,0
3,64.95,0.0,4,1,3,4,33.666149,0.0,0.0,0
436,251884.43,984.92,10,2,8,88,0.34,8.0,8.0,0
3,342210.95,84555.41,8,4,4,4,2.591529,0.0,0.0,0
3,952.85,12.37,93,34,59,4,1.990643,0.0,0.0,0
3,10.87,0.0,5,2,3,4,666.999528,0.0,0.0,0
3,46.45,0.0,4,1,3,4,33.666149,0.0,0.0,0
436,511227.0,336.67,10,2,8,270,0.458381,11.0,11.0,0
3,323.42,0.04,4,2,2,4,50.499508,0.0,0.0,0
3,20.18,0.0,6,2,4,4,500.249528,0.0,0.0,0
3,314.65,0.0,3,1,2,4,50.499508,0.0,0.0,0
3,73.97,0.0,3,1,2,4,14.999496,0.0,0.0,0
3,10.38,0.38,5,2,3,4,666.999528,0.0,0.0,0
3,327.37,0.82,5,2,3,4,33.666165,0.0,0.0,0
308,228977.53,2336.51,99,98,0,270,0.0,1.0,1.0,0
11,138977.15,620.61,380,217,163,270,418.874903,1.0,1.0,0
401,816620.55,14465.72,61,55,6,270,2.128333,11.0,11.0,0
349,376480.78,3186.72,125,67,58,178,9.990969,20.0,20.0,0
236,267722.13,11.04,16,2,14,270,0.677948,3.0,3.0,0
401,1150335.93,1470.58,793,580,213,270,0.860486,8.0,8.0,0
3,617468.87,109066.9,10,4,6,4,3.611791,0.0,0.0,0
119,226766.85,1426.21,160,159,0,270,0.0,2.0,2.0,0
3,10.93,0.0,2,1,1,4,2.74938,0.0,0.0,0
3,73.42,0.0,5,2,3,4,33.666159,0.0,0.0,0
144,520700.2,556.53,629,438,191,94,1.597554,6.0,6.0,0
3,127115.7,3733.57,68,34,34,4,0.384883,0.0,0.0,0
3,353915.25,27224.25,14,13,0,4,0.0,0.0,0.0,0
3,75.03,0.23,5,2,3,4,33.666163,0.0,0.0,0
3,62.6,0.0,4,1,3,4,33.666149,0.0,0.0,0
3,301482.83,37680.11,15,8,7,4,11.24715,0.0,0.0,0
3,310.32,0.0,3,1,2,4,50.499508,0.0,0.0,0
3,40.8,0.0,4,1,3,4,33.666149,0.0,0.0,0
308,376485.87,230.02,1239,557,682,270,0.995851,1.0,1.0,0
3,2669.23,1332.65,4,2,2,4,296.099456,0.0,0.0,0
381,946931.97,3055.47,145,47,98,243,11.861401,30.0,31.0,0
3,13.88,0.0,2,1,1,4,4.98,0.0,0.0,0
3,5.9,0.0,5,2,3,4,666.99939,0.0,0.0,0
3,323.38,0.63,4,2,2,4,50.499508,0.0,0.0,0
3,743941.13,123984.24,12,6,6,4,5.84204,0.0,0.0,0
308,992074.2,10060.62,82,80,2,270,3.958433,1.0,1.0,0
3,152789.92,8482.58,36,18,18,4,5.465914,0.0,0.0,0
3,178770.6,16246.22,22,11,11,4,1.017056,0.0,0.0,0
352,1019244.7,10243.09,21,8,13,36,80.696,20.0,20.0,0
3,327.92,0.94,4,2,2,4,50.499508,0.0,0.0,0
3,326.03,0.63,4,2,2,4,50.499508,0.0,0.0,0
38,936622.48,47103.98,9,3,6,30,2.171335,6.0,6.0,0
3,948.73,0.0,2,1,1,4,0.999559,0.0,0.0,0
119,250218.08,19247.54,14,13,0,270,0.0,2.0,2.0,0
3,321.5,0.92,4,2,2,4,50.499508,0.0,0.0,0
352,232149.93,21.34,16736,7835,8901,270,3210.983135,29.0,29.0,0
308,182217.27,1019.6,89,73,16,270,0.56413,1.0,1.0,0
308,77404.38,3975.35,6,2,4,270,7.918247,1.0,1.0,0
3,2259.65,0.0,2,1,1,4,12.123009,0.0,0.0,0
3,320.68,0.15,4,2,2,4,50.499508,0.0,0.0,0
3,6699.85,3346.38,4,2,2,4,0.600717,0.0,0.0,0
119,192602.83,4097.93,48,47,0,270,0.0,2.0,2.0,0
3,305.33,0.0,3,1,2,4,50.499286,0.0,0.0,0
3,20.93,0.0,2,1,1,4,2.394006,0.0,0.0,0
3,68.72,0.0,4,1,3,4,33.666149,0.0,0.0,0
3,205942.0,2935.83,138,70,68,4,2.077035,0.0,0.0,0
3,1.32,0.0,2,1,1,4,0.7064,0.0,0.0,0
3,326.13,0.43,4,2,2,4,50.499508,0.0,0.0,0
259,511631.95,27.81,10002,4698,5304,270,214.505344,4.0,4.0,0
3,10.78,0.0,5,2,3,4,666.999528,0.0,0.0,0
3,81986.35,20470.41,8,4,4,4,6.23386,0.0,0.0,0
3,24336.13,2020.11,21,12,9,4,8.946717,0.0,0.0,0
3,319.03,0.0,3,1,2,4,50.499508,0.0,0.0,0
214,365818.75,84822.03,15,4,11,133,0.112727,4.0,4.0,0
401,1921036.52,1074.42,1624,1560,64,270,47.960507,13.0,13.0,0
3,68.3,0.0,4,1,3,4,33.666149,0.0,0.0,0
124,237790.27,13360.06,39,17,22,80,0.203076,3.0,3.0,0
243,915822.2,8727.64,65,20,45,23,0.911633,23.0,25.0,0
119,319320.53,1995.75,161,160,0,270,0.0,4.0,4.0,0
3,5.65,0.0,5,2,3,4,666.999528,0.0,0.0,0
243,868228.45,5872.92,1329,69,1259,239,4.987012,97.0,101.0,0
3,14.38,0.0,2,1,1,4,1.358735,0.0,0.0,0
352,705882.98,22466.36,42,28,14,270,0.920945,12.0,12.0,0
3,306025.43,10216.0,39,27,12,4,0.201136,0.0,0.0,0
3,88326.87,44163.43,3,2,0,4,0.0,0.0,0.0,0
3,253.25,0.0,2,1,1,4,0.29938,0.0,0.0,0
3,327.7,0.0,3,1,2,4,50.499508,0.0,0.0,0
3,5.95,0.0,2,1,1,4,1.465969,0.0,0.0,0
3,4.68,0.0,5,2,3,4,666.999528,0.0,0.0,0
436,259478.57,0.0,2,1,1,270,0.999559,5.0,5.0,0
119,209930.78,2762.25,77,76,0,270,0.0,3.0,3.0,0
47,319340.05,3801.67,85,84,0,270,0.0,5.0,5.0,0
3,325.1,0.94,4,2,2,4,50.499508,0.0,0.0,0
3,208695.6,11594.2,19,18,0,4,0.0,0.0,0.0,0
3,80078.27,1945.73,82,41,41,4,0.107767,0.0,0.0,0
3,964896.88,482175.49,6,2,4,4,7.53027,0.0,0.0,0
119,547962.18,6682.47,83,82,0,270,0.0,3.0,3.0,0
119,291444.33,12143.51,25,24,0,270,0.0,2.0,2.0,0
280,32323.4,4980.4,5,3,2,270,3.128731,2.0,2.0,0
308,283905.73,2405.98,119,118,0,270,0.0,1.0,1.0,0
119,192590.77,1346.79,144,143,0,270,0.0,2.0,2.0,0
436,273204.15,29228.1,12,5,7,189,5.20281,7.0,7.0,0
3,65.03,0.0,4,1,3,4,33.666149,0.0,0.0,0
3,5.4,0.68,5,2,3,4,666.999528,0.0,0.0,0
3,324.73,0.82,4,2,2,4,50.499487,0.0,0.0,0
3,17134.32,5707.63,5,3,2,4,2.697775,0.0,0.0,0
3,5.8,0.0,2,1,1,4,9.999528,0.0,0.0,0
3,39.47,0.0,2,1,1,4,0.225055,0.0,0.0,0
3,19.25,0.0,6,2,4,4,500.249528,0.0,0.0,0
3,310.48,0.0,4,1,3,4,33.666171,0.0,0.0,0
3,321.17,0.0,3,1,2,4,50.499508,0.0,0.0,0
281,974378.8,35556.84,74,23,51,196,0.69957,14.0,14.0,0
3,321.95,0.6,4,2,2,4,50.499508,0.0,0.0,0
3,1010987.1,112125.71,17,9,8,4,6.102275,0.0,0.0,0
3,18.87,0.0,5,2,3,4,666.999528,0.0,0.0,0
119,226756.63,824.57,276,275,0,270,0.0,2.0,2.0,0
35,447735.1,47057.88,18,3,15,180,0.120252,8.0,9.0,0
3,2257.95,0.0,2,1,1,4,0.380555,0.0,0.0,0
3,412.35,76.03,10,5,5,4,6.899288,0.0,0.0,0
3,63.8,0.0,5,1,4,4,25.249475,0.0,0.0,0
3,96.47,0.0,2,1,1,4,1.114553,0.0,0.0,0
119,244519.93,3396.11,73,72,0,270,0.0,4.0,4.0,0
3,111991.72,1748.94,128,64,64,4,0.200835,0.0,0.0,0
119,283910.03,2426.58,118,117,0,270,0.0,4.0,4.0,0
295,310191.97,191.0,1624,1624,0,183,0.0,1.0,1.0,0
3,293206.6,1420.14,407,204,203,4,10.815768,0.0,0.0,0
443,1007930.98,5448.4,236,107,129,210,35.926786,65.0,65.0,0
3,408109.47,365.31,2121,1063,1058,4,0.326628,0.0,0.0,0
3,24.2,0.0,2,1,1,4,0.009418,0.0,0.0,0
3,3.73,0.0,2,1,1,4,0.179795,0.0,0.0,0
465,577697.67,11318.66,98,51,47,270,0.897617,1.0,1.0,0
3,74.32,0.0,2,1,1,4,2.199496,0.0,0.0,0
3,321.12,0.6,4,2,2,4,50.499508,0.0,0.0,0
3,9.68,0.0,5,2,3,4,666.999528,0.0,0.0,0
363,898837.57,8427.96,208,105,103,270,1.042574,2.0,2.0,0
436,0.0,0.0,1,1,0,270,0.0,6.0,6.0,0
352,663716.47,23213.4,25,9,16,295,0.398909,17.0,17.0,0
3,95469.27,1898.84,85,43,42,4,0.108894,0.0,0.0,0
3,52953.02,3309.56,17,16,0,4,0.0,0.0,0.0,0
3,314180.58,8965.07,70,35,35,4,0.047499,0.0,0.0,0
3,327.87,0.0,3,1,2,4,50.499508,0.0,0.0,0
3,66.55,0.0,4,1,3,4,33.666149,0.0,0.0,0
453,790629.43,1856.04,435,401,34,189,32.655689,17.0,17.0,0
3,10.03,0.0,2,1,0,4,0.0,0.0,0.0,0
22,585677.32,6436.01,92,91,0,270,0.0,5.0,5.0,0
381,1610.6,781.62,3,2,1,243,0.0,2.0,2.0,0
3,21.48,0.0,2,1,1,4,1.092856,0.0,0.0,0
65,658299.15,56578.38,9,7,2,270,0.7505,14.0,14.0,0
3,76156.38,12801.65,9,5,4,4,1.405809,0.0,0.0,0
119,228994.25,1647.44,140,139,0,270,0.0,2.0,2.0,0
79,189102.7,2700.56,14,8,6,49,8.139129,2.0,2.0,0
119,226758.45,4049.26,57,56,0,270,0.0,2.0,2.0,0
119,338100.62,5931.59,58,57,0,270,0.0,3.0,3.0,0
3,15.67,0.0,5,2,3,4,666.999528,0.0,0.0,0
3,3.73,0.0,2,1,1,4,0.269404,0.0,0.0,0
3,14.03,0.0,2,1,1,4,10.17155,0.0,0.0,0
3,72.55,0.49,5,2,3,4,33.665992,0.0,0.0,0
3,71.75,0.0,2,1,1,4,9.9978,0.0,0.0,0
3,330.62,0.0,2,1,1,4,0.99938,0.0,0.0,0
3,598.23,0.0,2,1,1,4,0.17938,0.0,0.0,0
154,203015.42,2096.14,188,83,105,98,29.054867,3.0,3.0,0
3,332.73,0.21,4,2,2,4,50.499487,0.0,0.0,0
3,2.8,0.0,2,1,1,4,64.866707,0.0,0.0,0
202,17157.67,5422.52,5,2,3,123,0.065425,1.0,1.0,0
3,791365.95,7808.66,199,100,99,4,1.058727,0.0,0.0,0
3,323.08,0.84,6,2,4,4,25.249508,0.0,0.0,0
3,331.93,0.7,4,2,2,4,50.499487,0.0,0.0,0
3,55167.15,2261.81,48,24,24,4,11.542642,0.0,0.0,0
3,575636.87,7971.34,113,58,55,4,2.391085,0.0,0.0,0
308,226777.48,7559.25,31,30,0,270,0.0,1.0,1.0,0
3,48.88,0.0,2,1,1,4,0.294453,0.0,0.0,0
3,71.9,0.18,5,2,3,4,33.666151,0.0,0.0,0
3,1.58,0.0,2,1,1,4,0.32886,0.0,0.0,0
3,54.97,0.0,4,1,3,4,33.666149,0.0,0.0,0
308,204962.67,8540.11,25,24,0,270,0.0,4.0,4.0,0
3,917999.92,106764.47,20,6,14,4,0.461588,0.0,0.0,0
3,61584.9,62.16,13128,3,9997,4,1e-06,0.0,0.0,0
230,681582.07,7446.07,82,16,66,146,1.745379,27.0,27.0,0
3,71.53,0.44,5,2,3,4,33.666148,0.0,0.0,0
257,0.0,0.0,1,1,0,270,0.0,5.0,5.0,0
3,3.87,0.07,5,2,3,4,666.999528,0.0,0.0,0
65,417584.63,45861.57,10,7,3,270,120.180701,11.0,11.0,0
308,68666.87,1244.43,48,45,3,270,2.005772,1.0,1.0,0
3,315.47,0.0,3,1,2,4,50.499508,0.0,0.0,0
3,53.03,0.0,3,1,2,4,50.499475,0.0,0.0,0
3,382.15,0.0,2,1,1,4,0.04938,0.0,0.0,0
3,324.37,0.63,4,2,2,4,50.499508,0.0,0.0,0
3,12.82,0.0,2,1,1,4,0.141929,0.0,0.0,0
3,3.52,0.07,5,2,3,4,666.999528,0.0,0.0,0
95,607484.77,52001.03,14,7,7,55,0.926766,5.0,5.0,0
3,2312.95,0.0,2,1,1,4,0.061521,0.0,0.0,0
3,10.87,0.0,5,2,3,4,666.999528,0.0,0.0,0
119,283913.38,3420.64,84,83,0,270,0.0,2.0,2.0,0
3,5.8,0.0,2,1,1,4,0.108614,0.0,0.0,0
3,794993.12,264489.01,8,3,5,4,2.623575,0.0,0.0,0
3,199020.9,12437.77,32,16,16,4,1.702504,0.0,0.0,0
308,341341.32,52599.21,7,5,2,270,0.298903,1.0,1.0,0
3,327.12,0.37,4,2,2,4,50.499508,0.0,0.0,0
154,710352.4,9589.24,28,6,22,98,0.560875,19.0,19.0,0
3,57.7,0.0,2,1,1,4,5.998953,0.0,0.0,0
345,889416.88,24287.63,13,5,8,291,2.376145,17.0,17.0,0
403,323969.2,80707.17,6,4,2,270,0.5,25.0,25.0,0
308,801929.58,13955.93,64,48,16,189,19.212001,2.0,2.0,0
119,226752.87,1619.66,141,140,0,270,0.0,2.0,2.0,0
154,755957.72,11437.51,110,37,73,98,16.534022,28.0,28.0,0
3,3.87,0.07,5,2,3,4,666.999528,0.0,0.0,0
154,994303.05,5819.92,184,57,127,98,2.648994,58.0,60.0,0
436,254225.08,920.14,226,98,128,270,2.816058,1.0,1.0,0
3,14650.52,3660.15,8,4,4,4,31.886743,0.0,0.0,0
119,518476.32,3067.91,170,169,0,270,0.0,2.0,2.0,0
403,955991.27,46509.98,29,8,21,123,1.29619,13.0,13.0,0
349,24563.1,1476.59,21,5,16,220,0.955726,3.0,3.0,0
3,16990.2,8490.96,4,2,2,4,0.432594,0.0,0.0,0
3,323.72,0.0,14,1,13,4,7.768726,0.0,0.0,0
119,226771.23,2606.57,88,87,0,270,0.0,3.0,3.0,0
3,321.02,0.0,3,1,2,4,50.499508,0.0,0.0,0
401,980450.8,28749.02,5075,24,5051,263,0.122372,6.0,6.0,0
308,116034.77,10548.62,12,11,0,270,0.0,2.0,2.0,0
119,478627.65,531.76,867,800,67,189,58.539899,3.0,3.0,0
3,74.15,1.01,5,2,3,4,33.666159,0.0,0.0,0
202,443352.32,2854.57,111,100,11,123,0.452565,7.0,7.0,0
3,15909.2,155.33,3,2,1,4,2.593891,0.0,0.0,0
349,10046.77,181.64,32,3,29,220,0.406806,3.0,3.0,0
3,330.63,0.01,6,3,3,4,33.666157,0.0,0.0,0
