a46,a3,a47,a23,a28,a45,a18,a20,a30,a24,Class
63,704785.63,299,265.0,54.0,57.0,810,586.4666748,58.0,35588543.78,0
154,1218216.73,257,8.0,5.0,7.0,102,3.085478209,7.0,403.4283054,0
270,516729.3,436,8.0,7.0,8.0,12,3.58905665,8.0,521.5120705,0
216,397555.9,436,14.0,11.0,11.0,34,895.399559,11.0,17111.05191,0
237,382472.42,154,42.0,23.0,27.0,4619,53.4218965,27.0,162829.6609,0
4,20926.68,3,0.0,0.0,0.0,5,9.70472386,0.0,0.0,0
4,8660.35,3,0.0,0.0,0.0,36,12.079266,0.0,0.0,0
270,319828.05,436,7.0,5.0,7.0,218,4.45548974,7.0,397.951964,0
4,496.62,3,0.0,0.0,0.0,2,2.0,0.0,0.0,0
270,30572.7,11,1.0,1.0,1.0,11,50.1,1.0,600.0,0
4,129540.15,3,0.0,0.0,0.0,20,10.04819041,0.0,0.0,0
270,385961.98,436,8.0,7.0,8.0,254,831.8030477,8.0,6193.025913,0
270,198900.25,119,2.0,2.0,2.0,17,12.30665958,2.0,0.181283664,0
270,78197.58,320,3.0,2.0,2.0,9,0.36015854,2.0,8.001,0
250,540061.9,248,33.0,23.0,26.0,56,1851.006376,26.0,139827.7923,0
270,25802.32,413,4.0,0.0,0.0,38,1.591844363,0.0,0.0,0
4,280803.43,3,0.0,0.0,0.0,114,11.6287514,0.0,0.0,0
237,842599.05,53,13.0,8.0,7.0,37,182.2115661,7.0,308440.3104,0
4,2318.5,3,0.0,0.0,0.0,5,27.767,0.0,0.0,0
4,329.78,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
270,113840.02,308,2.0,2.0,2.0,19,101.9235724,2.0,4.983578382,0
270,292841.02,301,1.0,1.0,1.0,14,58.85070376,1.0,0.0,0
4,712.88,3,0.0,0.0,0.0,9,8.75,0.0,0.0,0
294,892782.2,401,16.0,9.0,15.0,134,43.17587621,15.0,2765.749578,0
270,226778.27,119,3.0,3.0,3.0,18,82.62366163,3.0,4.804121022,0
4,30.65,3,0.0,0.0,0.0,2,4.999,0.0,0.0,0
270,330187.83,436,11.0,8.0,11.0,85,35.0,11.0,1473.843474,0
4,68.87,3,0.0,0.0,0.0,2,0.54764892,0.0,0.0,0
4,338429.65,3,0.0,0.0,0.0,7,4.5371564,0.0,0.0,0
98,955278.0,375,48.0,26.0,23.0,73,2351.714972,23.0,1555219.09,0
270,291427.53,119,2.0,2.0,2.0,54,26.75944516,2.0,0.55819781,0
4,561789.58,3,0.0,0.0,0.0,21,56.22253457,0.0,0.0,0
270,2257.12,352,10.0,8.0,9.0,3,1.74798122,9.0,327.9083121,0
270,22889.93,413,2.0,1.0,1.0,12,0.15,1.0,1e-12,0
270,449889.15,119,2.0,2.0,2.0,695,1123.399095,2.0,0.532864637,0
138,450106.65,377,325.0,295.0,15.0,8959,223047.6014,15.0,139793.7886,0
293,4.87,448,2.0,1.0,1.0,2,0.003,1.0,3.75e-12,0
189,636162.82,436,10.0,8.0,8.0,4443,4618.823828,8.0,1444.347483,0
