a1,a4,a6,a9,a31,Class
844.26,721,0,0.0,0.0,0
12709.07,94,0,0.0,0.0,0
246194.54,2,0,0.113119,0.0,0
10219.6,25,0,0.0,0.0,0
36.61,4598,1,0.0,0.0,0
9900.12,2,0,0.724148,0.0,0
69.46,25,0,0.049,0.0,0
1497.39,213,0,0.11849,0.0,0
0.0,1,0,2.0,0.0,0
2570.59,8,0,0.1,0.0,0
32.45,10,0,1.000052,0.0,0
3716.41,8,0,0.118061,0.0,0
0.0,0,1,0.0,0.0,0
9520.7,7,0,0.095,0.0,0
14106.66,32,0,0.0,0.0,0
757.91,34,1,0.091844,0.0,0
3.13,57,0,0.016037,0.0,0
27681.45,26,0,0.09,0.0,0
770.29,3,0,7.772,0.0,0
163.78,2,0,44.048882,0.0,0
0.0,0,1,0.0,0.0,0
725.77,7,0,0.0,0.0,0
91.14,5,0,0.5,0.0,0
2477.34,8,0,0.013556,0.0,0
0.0,0,1,0.0,0.0,0
0.0,1,0,4.999,0.0,0
1797.42,82,0,0.0,0.0,0
0.0,1,0,0.547649,0.0,0
155.22,4,0,0.0,0.0,0
14626.26,59,0,0.00979,0.0,0
0.0,0,1,0.0,0.0,0
3.33,10,0,0.022663,0.0,0
1128.56,2,0,1.747981,0.0,0
2152.95,10,0,0.05,0.0,0
0.0,0,1,0.0,0.0,0
45.91,5970,0,0.0,0.0,0
0.0,1,0,0.003,0.0,0
1067.84,68,0,0.443993,0.0,0
1051.87,3,0,0.0,0.0,0
2.12,9996,3,1.0,0.0,0
17441.04,9,0,1.0,0.0,0
45561.42,13,0,0.0,0.0,0
379.78,3,0,0.0,0.0,0
1478.05,33,0,0.0,0.0,0
164.22,2,0,101.0,0.0,0
1790.44,6,0,0.2,0.0,0
803.95,2,0,0.0,0.0,0
18649.44,11,0,0.195,0.0,0
65.85,2217,0,0.0,0.0,0
181.7,12,0,0.0,0.0,0
23359.72,35,0,0.0,0.0,0
20827.93,8,0,10.0,0.0,0
4183.18,181,0,0.0731,0.0,0
1969.46,48,0,0.09,0.0,0
76.32,3424,2,3.8e-05,0.0,0
26.01,6,0,0.77,0.0,0
8174.66,3,0,0.001,0.0,0
628.48,5,0,0.740937,0.0,0
0.0,1,0,0.854871,0.0,0
0.0,1,0,0.134989,0.0,0
22.94,17,0,0.017319,0.0,0
7750.02,7,0,0.545459,0.0,0
621.07,14,4,0.5,0.0,0
13243.1,9,0,0.0,0.0,0
5815.7,30,0,0.20001,0.0,0
1905.13,124,0,0.5,0.0,0
24.63,3,0,0.04,0.0,0
59.56,4,0,0.001,0.0,0
0.0,1,0,12.0,0.0,0
56814.86,3,0,0.0,0.0,0
2.23,4,0,103.561873,0.0,0
52.48,24,0,1.761724,0.0,0
1466.39,6,0,0.0,0.0,0
25905.07,6,0,0.099,0.0,0
3834.85,121,0,0.0,0.0,0
3880.52,21,0,0.99,0.0,0
21466.84,23,0,0.0,0.0,0
1904.23,16,0,0.01,0.0,0
248.61,1156,0,0.0,0.0,0
10154.24,87,0,0.0,0.0,0
674.61,16,0,0.01,0.0,0
3517.86,49,0,0.0,0.0,0
20.41,5,0,101.0,0.0,0
0.0,0,1,0.0,0.0,0
244.78,61,0,0.009559,0.0,0
0.0,1,0,0.449477,0.0,0
0.0,1,0,0.86761,0.0,0
408.32,3,0,0.0,0.0,0
5801.32,85,0,0.060587,0.0,0
3.6,3,0,437.787303,0.0,0
0.0,1,0,1.0,0.0,0
13.67,17,0,0.01,0.0,0
193.0,4,0,0.39,0.0,0
20981.23,11,0,0.02,0.0,0
129.61,3,0,0.0,0.0,0
0.0,1,0,0.732876,0.0,0
5.88,3,0,560.184406,0.0,0
21.65,3,0,101.0,0.0,0
31239.32,8,0,1.0,0.0,0
997.32,4,0,0.0,0.0,0
9.02,59,0,0.0,0.0,0
3.62,3,0,437.511331,0.0,0
15.48,3,0,101.0,0.0,0
63819.21,8,0,0.006845,0.0,0
161.67,2,0,24.612212,0.0,0
5.05,4,0,497.549392,0.0,0
157.32,2,0,101.0,0.0,0
36.98,2,0,30.0,0.0,0
3.21,3,0,908.853504,0.0,0
108.58,3,0,46.981604,0.0,0
0.0,0,1,0.0,0.0,0
26.4,163,0,0.261456,0.0,0
3500.97,6,0,0.01,0.0,0
2809.83,58,0,0.0,0.0,0
19121.43,14,0,0.8971,0.0,0
1396.24,213,0,0.009918,0.0,0
30200.21,6,0,0.01129,0.0,0
0.0,0,1,0.0,0.0,0
0.0,1,0,2.75,0.0,0
24.47,3,0,29.231127,0.0,0
1449.95,191,0,0.002178,0.0,0
5.13,34,0,0.103256,0.0,0
0.0,0,1,0.452055,0.0,0
24.86,3,0,39.560242,0.0,0
20.87,3,0,101.0,0.0,0
6.0,7,0,0.11,0.0,0
155.16,2,0,101.0,0.0,0
13.6,3,0,101.0,0.0,0
364.17,682,0,0.019415,0.0,0
1.97,2,0,53.995,0.0,0
8197.19,98,0,0.0,0.0,0
0.0,1,0,4.995,0.0,0
1.97,3,0,439.322618,0.0,0
161.06,2,0,11.072192,0.0,0
5.95,6,0,2.802,0.0,0
93612.1,2,0,0.0003,0.0,0
5.75,18,0,0.43,0.0,0
5.66,11,0,0.375549,0.0,0
72100.0,13,0,0.1,0.0,0
163.02,2,0,32.780812,0.0,0
162.38,2,0,48.19835,0.0,0
132551.76,6,0,0.0,0.0,0
0.0,1,0,1.0,0.0,0
0.0,0,1,0.0,0.0,0
159.83,2,0,14.242353,0.0,0
22.05,8901,0,0.000572,0.0,0
6736.68,16,0,0.02,0.0,0
17363.42,4,0,4.995,0.0,0
0.0,1,0,12.123629,0.0,0
160.19,2,0,36.096668,0.0,0
3.54,2,0,0.201984,0.0,0
0.0,0,1,0.0,0.0,0
152.67,2,0,101.0,0.0,0
0.0,1,0,2.39451,0.0,0
22.91,3,0,101.0,0.0,0
6.38,68,0,0.043146,0.0,0
0.0,1,0,0.70724,0.0,0
162.63,2,0,21.595231,0.0,0
71.83,5304,0,0.0,0.0,0
3.59,3,0,521.161647,0.0,0
26.18,4,0,1.372664,0.0,0
10.53,9,0,0.995,0.0,0
159.52,2,0,101.0,0.0,0
2411.88,11,0,0.013823,0.0,0
3827.27,64,0,0.200004,0.0,0
22.77,3,0,101.0,0.0,0
484.97,22,0,0.006783,0.0,0
16472.66,45,0,0.0,0.0,0
0.0,0,1,0.0,0.0,0
1.88,3,0,100.470569,0.0,0
367.75,1259,1,0.25,0.0,0
0.0,1,0,1.373735,0.0,0
5487.5,14,0,0.007318,0.0,0
2516.11,12,0,0.001365,0.0,0
0.0,0,1,0.0,0.0,0
0.0,1,0,0.3,0.0,0
163.85,2,0,101.0,0.0,0
0.0,1,0,1.466441,0.0,0
1.56,3,0,98.62372,0.0,0
0.0,1,0,1.0,0.0,0
0.0,0,1,0.0,0.0,0
0.0,0,1,0.0,0.0,0
161.61,2,0,22.149371,0.0,0
0.0,0,1,0.0,0.0,0
7.4,41,0,0.100021,0.0,0
136.47,4,0,0.122249,0.0,0
0.0,0,1,0.0,0.0,0
0.0,0,1,0.0,0.0,0
8691.1,2,0,0.393264,0.0,0
0.0,0,1,0.0,0.0,0
0.0,0,1,0.0,0.0,0
18151.95,7,0,0.3,0.0,0
21.68,3,0,101.0,0.0,0
1.35,3,0,423.307237,0.0,0
161.55,2,0,47.956947,0.0,0
5.71,2,0,0.999559,0.0,0
0.0,1,0,10.0,0.0,0
0.0,1,0,0.225559,0.0,0
4.81,4,0,890.11919,0.0,0
103.49,3,0,101.0,0.0,0
160.58,2,0,101.0,0.0,0
3070.03,51,0,0.005,0.0,0
160.38,2,0,44.759506,0.0,0
231.96,8,0,0.001,0.0,0
6.29,3,0,718.318717,0.0,0
0.0,0,1,0.0,0.0,0
20437.43,15,0,0.018,0.0,0
0.0,1,0,0.381175,0.0,0
